"Date","Price","Open","High","Low","Change %"
"Apr 27, 1997","1.1286","1.1275","1.1355","1.1228","0.12%"
"Apr 20, 1997","1.1273","1.1382","1.1482","1.1261","-1.20%"
"Apr 13, 1997","1.1410","1.1365","1.1420","1.1245","0.56%"
"Apr 06, 1997","1.1346","1.1555","1.1555","1.1304","-1.83%"
"Mar 30, 1997","1.1558","1.1580","1.1685","1.1558","-0.17%"
"Mar 23, 1997","1.1578","1.1495","1.1630","1.1444","0.58%"
"Mar 16, 1997","1.1511","1.1445","1.1586","1.1427","0.50%"
"Mar 09, 1997","1.1454","1.1353","1.1475","1.1347","0.97%"
"Mar 02, 1997","1.1344","1.1455","1.1491","1.1293","-1.08%"
"Feb 23, 1997","1.1468","1.1510","1.1648","1.1441","-0.17%"
"Feb 16, 1997","1.1488","1.1480","1.1540","1.1389","-0.17%"
"Feb 09, 1997","1.1508","1.1800","1.1809","1.1479","-1.73%"
"Feb 02, 1997","1.1710","1.1773","1.1811","1.1594","-0.73%"
"Jan 26, 1997","1.1796","1.1860","1.1877","1.1703","-0.77%"
"Jan 19, 1997","1.1887","1.2065","1.2066","1.1801","-1.31%"
"Jan 12, 1997","1.2045","1.2272","1.2297","1.2045","-1.67%"
"Jan 05, 1997","1.2250","1.2325","1.2458","1.2237","-0.88%"
"Dec 29, 1996","1.2359","1.2411","1.2567","1.2341","-0.45%"
"Dec 22, 1996","1.2415","1.2403","1.2433","1.2330","0.06%"
"Dec 15, 1996","1.2407","1.2418","1.2521","1.2305","-0.17%"
"Dec 08, 1996","1.2428","1.2450","1.2546","1.2386","-0.37%"
"Dec 01, 1996","1.2474","1.2548","1.2594","1.2334","-0.53%"
"Nov 24, 1996","1.2540","1.2690","1.2749","1.2531","-1.67%"
"Nov 17, 1996","1.2753","1.2747","1.2862","1.2728","0.21%"
"Nov 10, 1996","1.2726","1.2727","1.2821","1.2665","0.09%"
"Nov 03, 1996","1.2714","1.2655","1.2742","1.2584","0.41%"
"Oct 27, 1996","1.2662","1.2586","1.2731","1.2575","0.46%"
"Oct 20, 1996","1.2604","1.2475","1.2645","1.2446","1.02%"
"Oct 13, 1996","1.2477","1.2522","1.2553","1.2413","-0.34%"
"Oct 06, 1996","1.2519","1.2477","1.2552","1.2475","0.40%"
"Sep 29, 1996","1.2469","1.2502","1.2532","1.2445","-0.26%"
"Sep 22, 1996","1.2502","1.2519","1.2664","1.2491","-0.30%"
"Sep 15, 1996","1.2540","1.2517","1.2591","1.2478","0.30%"
"Sep 08, 1996","1.2502","1.2647","1.2687","1.2479","-1.20%"
"Sep 01, 1996","1.2654","1.2723","1.2752","1.2646","-0.60%"
"Aug 25, 1996","1.2730","1.2728","1.2780","1.2690","0.13%"
"Aug 18, 1996","1.2714","1.2620","1.2717","1.2580","0.67%"
"Aug 11, 1996","1.2630","1.2718","1.2755","1.2606","-0.55%"
"Aug 04, 1996","1.2700","1.2726","1.2763","1.2620","-0.16%"
"Jul 28, 1996","1.2720","1.2689","1.2837","1.2672","0.35%"
"Jul 21, 1996","1.2676","1.2628","1.2783","1.2624","-0.01%"
"Jul 14, 1996","1.2677","1.2443","1.2800","1.2417","1.95%"
"Jul 07, 1996","1.2435","1.2420","1.2477","1.2384","0.06%"
"Jun 30, 1996","1.2428","1.2434","1.2487","1.2383","-0.03%"
"Jun 23, 1996","1.2432","1.2383","1.2480","1.2330","0.56%"
"Jun 16, 1996","1.2363","1.2413","1.2503","1.2350","-0.04%"
"Jun 09, 1996","1.2368","1.2308","1.2467","1.2298","0.49%"
"Jun 02, 1996","1.2308","1.2391","1.2420","1.2300","-0.68%"
"May 26, 1996","1.2392","1.2247","1.2405","1.2210","1.18%"
"May 19, 1996","1.2248","1.2283","1.2291","1.2190","-0.28%"
"May 12, 1996","1.2282","1.2287","1.2340","1.2227","0.01%"
"May 05, 1996","1.2281","1.2325","1.2393","1.2278","-0.29%"
"Apr 28, 1996","1.2317","1.2315","1.2404","1.2215","0.08%"
"Apr 21, 1996","1.2307","1.2348","1.2402","1.2245","-0.61%"
"Apr 14, 1996","1.2382","1.2401","1.2500","1.2349","-0.46%"
"Apr 07, 1996","1.2439","1.2530","1.2613","1.2413","-0.74%"
"Mar 31, 1996","1.2532","1.2548","1.2604","1.2506","-0.20%"
"Mar 24, 1996","1.2557","1.2557","1.2628","1.2477","0.16%"
"Mar 17, 1996","1.2537","1.2572","1.2606","1.2501","-0.33%"
"Mar 10, 1996","1.2578","1.2498","1.2612","1.2460","0.70%"
"Mar 03, 1996","1.2490","1.2540","1.2602","1.2460","-0.24%"
"Feb 25, 1996","1.2520","1.2690","1.2732","1.2490","-1.26%"
"Feb 18, 1996","1.2680","1.2541","1.2712","1.2539","0.88%"
"Feb 11, 1996","1.2570","1.2445","1.2580","1.2418","0.98%"
"Feb 04, 1996","1.2448","1.2423","1.2532","1.2398","0.52%"
"Jan 28, 1996","1.2383","1.2257","1.2388","1.2243","1.04%"
"Jan 21, 1996","1.2255","1.2475","1.2513","1.2245","-1.65%"
"Jan 14, 1996","1.2461","1.2815","1.2825","1.2439","-2.75%"
"Jan 07, 1996","1.2813","1.2802","1.2968","1.2786","-0.23%"
"Dec 31, 1995","1.2843","1.2769","1.2890","1.2658","0.52%"
"Dec 24, 1995","1.2777","1.2748","1.2866","1.2748","0.01%"
"Dec 17, 1995","1.2776","1.2761","1.2841","1.2698","0.36%"
"Dec 10, 1995","1.2730","1.2737","1.2776","1.2599","-0.01%"
"Dec 03, 1995","1.2731","1.2757","1.2877","1.2680","-0.20%"
"Nov 26, 1995","1.2757","1.2975","1.3000","1.2717","-1.82%"
"Nov 19, 1995","1.2993","1.3010","1.3066","1.2902","-0.74%"
"Nov 12, 1995","1.3090","1.2928","1.3090","1.2865","1.34%"
"Nov 05, 1995","1.2917","1.2933","1.3048","1.2897","-0.12%"
"Oct 29, 1995","1.2933","1.3025","1.3085","1.2877","-0.80%"
"Oct 22, 1995","1.3037","1.3063","1.3213","1.2963","-0.39%"
"Oct 15, 1995","1.3088","1.2952","1.3125","1.2859","1.19%"
"Oct 08, 1995","1.2934","1.2885","1.3007","1.2830","0.34%"
"Oct 01, 1995","1.2890","1.2976","1.2992","1.2810","-0.62%"
"Sep 24, 1995","1.2971","1.3000","1.3079","1.2872","-0.22%"
"Sep 17, 1995","1.3000","1.2591","1.3101","1.2565","3.07%"
