"Date","Price","Open","High","Low","Change %"
"Apr 27, 1997","8.2945","8.2945","8.2945","8.2945","0.00%"
"Apr 20, 1997","8.2943","8.2943","8.2943","8.2943","-0.01%"
"Apr 13, 1997","8.2951","8.2951","8.2951","8.2951","-0.02%"
"Apr 06, 1997","8.2969","8.2969","8.2969","8.2969","0.00%"
"Mar 30, 1997","8.2968","8.2968","8.2968","8.2968","0.00%"
"Mar 23, 1997","8.2964","8.2964","8.2964","8.2964","0.01%"
"Mar 16, 1997","8.2956","8.2956","8.2956","8.2956","0.00%"
"Mar 09, 1997","8.2955","8.2955","8.2955","8.2955","-0.00%"
"Mar 02, 1997","8.2957","8.2957","8.2957","8.2957","0.00%"
"Feb 23, 1997","8.2954","8.2954","8.2954","8.2954","0.02%"
"Feb 16, 1997","8.2941","8.2941","8.2941","8.2941","0.02%"
"Feb 09, 1997","8.2925","8.2925","8.2925","8.2925","0.01%"
"Feb 02, 1997","8.2916","8.2916","8.2916","8.2916","-0.02%"
"Jan 26, 1997","8.2934","8.2934","8.2934","8.2934","-0.02%"
"Jan 19, 1997","8.2951","8.2951","8.2951","8.2951","-0.01%"
"Jan 12, 1997","8.2956","8.2956","8.2956","8.2956","-0.01%"
"Jan 05, 1997","8.2967","8.2967","8.2967","8.2967","-0.02%"
"Dec 29, 1996","8.2983","8.2983","8.2983","8.2983","0.00%"
"Dec 22, 1996","8.2982","8.2982","8.2982","8.2982","0.01%"
"Dec 15, 1996","8.2970","8.2970","8.2970","8.2970","-0.02%"
"Dec 08, 1996","8.2990","8.2990","8.2990","8.2990","-0.01%"
"Dec 01, 1996","8.3002","8.3002","8.3002","8.3002","-0.01%"
"Nov 24, 1996","8.3012","8.3012","8.3012","8.3012","-0.01%"
"Nov 17, 1996","8.3017","8.3017","8.3017","8.3017","0.02%"
"Nov 10, 1996","8.3000","8.3000","8.3000","8.3000","0.04%"
"Nov 03, 1996","8.2970","8.2970","8.2970","8.2970","-0.02%"
"Oct 27, 1996","8.2985","8.2985","8.2985","8.2985","-0.02%"
"Oct 20, 1996","8.3000","8.3000","8.3000","8.3000","0.03%"
"Oct 13, 1996","8.2978","8.2978","8.2978","8.2978","-0.02%"
"Oct 06, 1996","8.2993","8.2993","8.2993","8.2993","-0.02%"
"Sep 29, 1996","8.3007","8.3007","8.3007","8.3007","-0.01%"
"Sep 22, 1996","8.3017","8.3017","8.3017","8.3017","-0.02%"
"Sep 15, 1996","8.3030","8.3030","8.3030","8.3030","-0.02%"
"Sep 08, 1996","8.3050","8.3050","8.3050","8.3050","-0.01%"
"Sep 01, 1996","8.3057","8.3057","8.3057","8.3057","-0.01%"
"Aug 25, 1996","8.3063","8.3063","8.3063","8.3063","-0.01%"
"Aug 18, 1996","8.3071","8.3071","8.3071","8.3071","0.00%"
"Aug 11, 1996","8.3069","8.3069","8.3069","8.3069","-0.03%"
"Aug 04, 1996","8.3090","8.3090","8.3090","8.3090","-0.02%"
"Jul 28, 1996","8.3104","8.3104","8.3104","8.3104","-0.01%"
