"Date","Price","Open","High","Low","Change %"
"Apr 27, 1997","35.730","35.815","35.890","35.710","-0.06%"
"Apr 20, 1997","35.750","35.830","35.840","35.650","-0.07%"
"Apr 13, 1997","35.775","35.755","35.870","35.755","-0.13%"
"Apr 06, 1997","35.820","35.800","35.940","35.750","-0.03%"
"Mar 30, 1997","35.830","35.940","36.020","35.810","-0.15%"
"Mar 23, 1997","35.885","35.835","35.955","35.805","0.07%"
"Mar 16, 1997","35.860","35.850","35.952","35.800","0.08%"
"Mar 09, 1997","35.830","35.800","35.917","35.800","0.00%"
"Mar 02, 1997","35.830","35.900","35.940","35.800","-0.08%"
"Feb 23, 1997","35.860","35.851","35.980","35.830","0.03%"
"Feb 16, 1997","35.850","35.900","35.970","35.830","-0.14%"
"Feb 09, 1997","35.900","35.830","36.030","35.800","0.14%"
"Feb 02, 1997","35.850","35.930","35.935","35.800","0.00%"
"Jan 26, 1997","35.850","35.790","35.950","35.700","0.04%"
"Jan 19, 1997","35.835","35.870","35.885","35.645","-0.01%"
"Jan 12, 1997","35.840","35.770","35.935","35.720","-0.03%"
"Jan 05, 1997","35.850","35.940","35.965","35.700","-0.13%"
"Dec 29, 1996","35.895","35.785","36.022","35.785","0.27%"
"Dec 22, 1996","35.800","35.770","35.915","35.750","-0.11%"
"Dec 15, 1996","35.840","35.750","35.910","35.650","-0.03%"
"Dec 08, 1996","35.850","35.850","36.047","35.600","0.14%"
"Dec 01, 1996","35.800","35.800","35.955","35.577","0.22%"
"Nov 24, 1996","35.722","35.475","35.797","35.425","0.20%"
"Nov 17, 1996","35.650","35.965","35.982","35.600","-0.28%"
"Nov 10, 1996","35.750","35.810","36.040","35.600","-0.46%"
"Nov 03, 1996","35.915","35.890","35.970","35.600","0.74%"
"Oct 27, 1996","35.650","35.720","35.915","35.600","0.00%"
"Oct 20, 1996","35.650","35.750","35.870","35.600","0.00%"
"Oct 13, 1996","35.650","35.690","35.825","35.550","0.00%"
"Oct 06, 1996","35.650","35.700","35.860","35.600","0.14%"
"Sep 29, 1996","35.600","35.780","35.925","35.400","-0.14%"
"Sep 22, 1996","35.650","35.800","35.955","35.550","-0.14%"
"Sep 15, 1996","35.700","35.850","35.960","35.650","0.00%"
"Sep 08, 1996","35.700","35.710","35.937","35.550","0.14%"
"Sep 01, 1996","35.650","35.700","36.060","35.600","0.00%"
"Aug 25, 1996","35.650","35.600","35.990","35.527","0.14%"
"Aug 18, 1996","35.600","35.780","35.920","35.500","0.00%"
"Aug 11, 1996","35.600","35.900","35.980","35.500","-0.28%"
"Aug 04, 1996","35.700","35.750","35.980","35.400","0.56%"
"Jul 28, 1996","35.500","35.780","35.970","35.300","-0.28%"
"Jul 21, 1996","35.600","35.600","36.010","35.200","0.00%"
"Jul 14, 1996","35.600","35.730","36.110","35.500","0.56%"
"Jul 07, 1996","35.400","35.300","35.790","35.100","1.14%"
"Jun 30, 1996","35.000","35.050","35.480","34.800","0.14%"
"Jun 23, 1996","34.950","35.050","35.295","34.850","0.29%"
"Jun 16, 1996","34.850","34.900","35.290","34.800","-0.14%"
"Jun 09, 1996","34.900","34.900","35.265","34.700","0.22%"
"Jun 02, 1996","34.825","34.925","35.125","34.675","-0.36%"
"May 26, 1996","34.950","35.150","35.435","34.950","-0.29%"
"May 19, 1996","35.050","34.950","35.350","34.750","0.57%"
"May 12, 1996","34.850","35.050","35.870","34.550","-0.57%"
"May 05, 1996","35.050","34.600","35.680","34.500","1.45%"
"Apr 28, 1996","34.550","34.400","34.980","34.270","1.02%"
"Apr 21, 1996","34.200","34.260","34.700","34.050","0.15%"
"Apr 14, 1996","34.150","34.260","34.400","34.150","0.00%"
